What is your university name ?,What is your current level of education?,How often do you use AI tools like ChatGPT  for academic purposes?,How do you think ChatGPT has influenced teaching methods in your courses?,Has ChatGPT influenced your approach to solving complex academic problems or  assignments  ? ,Do you use ChatGPT for group study or collaborative learning ?,Do you feel that AI assists you in self-paced learning ?, Does ChatGPT help improve critical thinking and problem-solving?,"Has ChatGPT provided useful guidance on your career path or educational choices ?",How worried are you about the privacy and safety of your personal data when using AI tools like ChatGPT for academic tasks?,Do you think relying too much on AI tools like ChatGPT could harm students creativity and critical thinking skills?,Do you believe using AI tools like ChatGPT reduces your creativity and critical thinking?,Do you believe AI tools (like ChatGPT) improve your learning experience?
NSU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,Somewhat worried,Neutral,Yes,Yes
NSU,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
North South University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
NSU,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has had no impact on teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,No,Yes,Somewhat worried,Agree,Sometimes,Yes
MIU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Maybe
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Not Sure,Yes,Yes,worried,Neutral,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Not worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Disagree,Sometimes,Yes
MIU,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly disagree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
MIU,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,No,Yes,Not Sure,worried,Agree,Sometimes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,No,Yes,No,Yes,worried,Strongly disagree,Sometimes,Maybe
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Maybe
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
 Akib Ahmed,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
MIU,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
MIU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Miu,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,worried,Strongly agree,Sometimes,Maybe
Miu,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
MIU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Sometimes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Not worried,Neutral,Yes,Yes
MIU,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Ommee Samia Khan,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly disagree,Yes,Yes
MIU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat international university,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International Universit,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
MIU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Manarat International University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Neutral,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Maybe
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,No,Yes,Yes,worried,Disagree,Sometimes,Yes
Miu,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Maybe
Miu,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Not Sure,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Yes,Yes
MIU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Strongly agree,Sometimes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Strongly disagree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
MIU,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,I am not sure how it affects teaching methods,Yes,Yes,Yes,Not Sure,Yes,Not worried,Disagree,Sometimes,Yes
Manarat International University,Undergraduate,Monthly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
MIU,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
MIU,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Not Sure,Yes,worried,Strongly agree,Yes,Yes
MIU,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Maybe
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
MIU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Not Sure,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
MIU,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Sometimes,Maybe
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
MIu,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Sometimes,Maybe
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Not Sure,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Neutral,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
MIU,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Maybe
Manarat International University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Manarat International University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Sometime,Yes,Not Sure,Yes,worried,Strongly agree,Sometimes,Maybe
Manarat International University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,No,Yes,Somewhat worried,Disagree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
JU,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,Yes,Somewhat worried,Disagree,Sometimes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
JU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,I am not sure how it affects teaching methods,Yes,Yes,Yes,Yes,No,Not worried,Neutral,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Not Sure,Yes,worried,Agree,Sometimes,Yes
JU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Jahangirnagar University,Undergraduate,Monthly,It has improved teaching methods significantly,Not Sure,No,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
JU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
JU,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,No,Somewhat worried,Agree,Sometimes,Maybe
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,No,Yes,Yes,Somewhat worried,Neutral,Sometimes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Disagree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Disagree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
JU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar university,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Not Sure,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Yes
Jahangirnagar University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Postgraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Not Sure,worried,Strongly agree,Sometimes,Yes
Jahangirnagar University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Monthly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
JU,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Maybe
Jahangirnagar University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Jahangirnagar University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
JU,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,Somewhat worried,Agree,Yes,Yes
Jahangirnagar University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Not Sure,Yes,Yes,Not worried,Disagree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,No,Yes,Yes,Yes,worried,Strongly agree,Sometimes,Maybe
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Sometimes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Postgraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Postgraduate,Weekly,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Daily,It has slightly improved teaching methods,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Postgraduate,Daily,I am not sure how it affects teaching methods,Not Sure,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Sometime,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Undergraduate,Monthly,I am not sure how it affects teaching methods,Yes,No,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,Not worried,Disagree,Sometimes,Yes
Jahangirnagar University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Strongly agree,Yes,Yes
Jahangirnagar University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Weekly,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Postgraduate,Weekly,It has slightly improved teaching methods,Yes,Sometime,Yes,Yes,Yes,worried,Agree,Yes,Yes
Jahangirnagar University,Undergraduate,Daily,It has improved teaching methods significantly,Yes,Yes,Yes,Yes,Yes,worried,Agree,Yes,Yes
